,Name,Record,Height,Weight,Reach,DOB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub Avg,wins,draws,losses,age,STANCE_Orthodox,STANCE_Southpaw,STANCE_Switch,ELO
1914,Clayton Carpenter,Record: 8-2-0,66.0,125.0,66.0,1996-06-09,3.66,0.53,2.57,0.55,1.99,0.46,0.37,1.3,8,0,2,29,True,False,False,1.0503668953658816
1915,Thomas Petersen,Record: 10-4-0,73.0,264.0,74.0,1995-03-30,3.38,0.58,2.95,0.55,3.71,0.5,0.87,0.5,10,0,4,30,False,True,False,1.2046004529528576
1916,Solomon Renfro,Record: 8-2-0,69.0,170.0,72.0,1997-02-05,5.2,0.44,3.53,0.61,2.0,0.5,1.0,0.0,8,0,2,28,False,False,True,1.2819618100024142
1917,Edimilson Souza,Record: 15-5-0,72.0,145.0,74.0,1984-10-17,4.65,0.44,2.91,0.58,0.0,0.0,0.5,0.0,15,0,5,41,True,False,False,0.11810588607916883
1920,Billy Elekana,Record: 9-2-0,75.0,205.0,77.0,1995-05-28,2.66,0.6,3.28,0.46,0.55,0.25,0.0,0.6,9,0,2,30,False,True,False,0.47665639948027333
1924,Danyelle Wolf,Record: 1-1-0,71.0,145.0,70.0,1983-09-08,2.37,0.25,4.57,0.47,0.0,0.0,0.77,0.5,1,0,1,42,True,False,False,-0.10078165902294821
1925,Issei Tamura,Record: 10-8-0,65.0,135.0,63.0,1984-03-12,1.89,0.53,4.58,0.44,0.92,0.25,0.33,0.0,10,0,8,41,True,False,False,0.03402509857421663
1926,Damacio Page,Record: 19-10-0,66.0,135.0,66.0,1982-09-30,2.05,0.38,2.47,0.51,2.63,0.64,0.23,0.9,19,0,10,43,True,False,False,0.3148802153670975
1928,Shauna Bannon,Record: 7-2-0,65.0,115.0,65.0,1993-10-23,4.32,0.43,3.75,0.45,0.0,0.0,0.4,0.7,7,0,2,32,False,False,True,0.16500584318843473
1933,Fabio Maldonado,Record: 23-11-0,73.0,205.0,75.0,1980-03-17,5.29,0.58,4.31,0.53,0.44,0.57,0.61,0.6,23,0,11,45,True,False,False,0.1580658147679679
1934,Artem Lobov,Record: 13-15-1 (1 NC),69.0,145.0,65.0,1986-08-11,3.52,0.41,4.82,0.5,0.39,0.25,0.52,0.0,13,1,15,39,False,True,False,-0.023511375210188694
1938,Esteban Ribovics,Record: 15-2-0,70.0,155.0,69.0,1996-04-27,8.09,0.43,6.3,0.54,0.39,0.66,0.7,0.2,15,0,2,29,True,False,False,1.0994669402454007
1940,Charlie Brenneman,Record: 19-8-0,70.0,155.0,70.0,1981-02-09,1.52,0.56,1.55,0.46,4.23,0.42,0.72,0.0,19,0,8,44,True,False,False,0.2830889830106788
1942,Jake Collier,Record: 13-10-0,75.0,230.0,78.0,1988-10-25,5.8,0.44,5.08,0.5,0.71,0.33,0.67,0.6,13,0,10,37,True,False,False,0.43057826353701956
1943,Antonio Carvalho,Record: 15-6-0,69.0,145.0,70.0,1979-05-30,3.03,0.29,3.62,0.64,0.0,0.0,1.0,0.0,15,0,6,46,True,False,False,-0.0586978467595916
1944,Koya Kanda,Record: 12-5-0,69.0,145.0,75.0,1995-12-20,3.63,0.41,2.9,0.53,2.0,0.18,1.0,0.0,12,0,5,30,False,True,False,1.0169806055532038
1946,Scott Askham,Record: 14-4-0,75.0,185.0,75.0,1988-05-20,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,14,0,4,37,False,True,False,0.17007890826430722
1948,Danny Downes,Record: 8-3-0,72.0,155.0,72.0,1986-04-08,1.66,0.34,3.53,0.37,0.0,0.0,0.37,0.5,8,0,3,39,True,False,False,-0.08171339294389877
1949,Mateo Vogel,Record: 8-3-0,68.0,145.0,71.0,1996-03-05,4.47,0.46,2.87,0.65,1.0,0.16,0.0,0.0,8,0,3,29,True,False,False,0.42907358238435045
1951,Kevin Lee,Record: 18-8-0,69.0,170.0,77.0,1992-09-04,3.88,0.42,3.6,0.5,3.18,0.43,0.75,0.8,18,0,8,33,True,False,False,1.149647122884068
1954,Azamat Bekoev,Record: 20-4-0,72.0,185.0,72.0,1995-12-30,4.07,0.45,7.66,0.31,4.49,0.45,0.8,0.0,20,0,4,29,True,False,False,0.023246112775885164
1956,Cody Durden,Record: 17-9-1,67.0,125.0,67.0,1991-03-29,3.66,0.44,4.47,0.5,3.99,0.47,0.75,0.7,17,1,9,34,False,True,False,0.7736992782437162
1957,Leonard Garcia,Record: 18-13-1,70.0,145.0,68.0,1979-07-14,2.77,0.24,4.79,0.52,0.3,0.26,0.42,0.5,18,1,13,46,True,False,False,-0.00016245013335543094
1959,Kenny Robertson,Record: 15-5-0,70.0,170.0,74.0,1984-02-14,3.72,0.47,3.02,0.52,1.37,0.26,0.57,0.8,15,0,5,41,True,False,False,0.3682649059618082
1960,Ramazan Temirov,Record: 19-3-0,64.0,125.0,63.0,1997-01-31,4.37,0.4,3.93,0.59,0.84,0.5,1.0,0.0,19,0,3,28,True,False,False,0.8171006832992997
1961,Chris Fishgold,Record: 18-4-1,68.0,145.0,68.0,1992-06-06,2.01,0.32,2.7,0.46,2.59,0.46,0.44,1.3,18,1,4,33,True,False,False,1.0217770175498455
1964,Ruslan Magomedov,Record: 14-1-0,75.0,242.0,78.0,1986-11-26,4.02,0.47,1.47,0.66,0.33,1.0,0.88,0.0,14,0,1,39,True,False,False,0.8386693019417689
1966,Dustin Stoltzfus,Record: 16-8-0,72.0,185.0,75.0,1991-11-15,3.3,0.45,3.23,0.47,2.08,0.37,0.46,1.1,16,0,8,34,True,False,False,0.9049458317148067
1967,Nick Thompson,Record: 38-14-1,73.0,170.0,74.0,1981-06-23,1.87,0.42,1.8,0.49,1.06,1.0,0.35,2.6,38,1,14,44,True,False,False,0.2922132671930958
1970,Seth Baczynski,Record: 20-14-0,75.0,170.0,75.0,1981-10-26,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,20,0,14,44,True,False,False,0.12718245451015672
1972,Joshua Wang-Kim,Record: 5-2-0,69.0,135.0,71.0,1992-11-16,2.95,0.4,4.43,0.6,1.17,1.0,0.66,0.0,5,0,2,33,False,False,True,0.2678010566863113
1978,Tim Kennedy,Record: 18-6-0,71.0,185.0,74.0,1979-09-01,2.78,0.47,1.84,0.62,2.58,0.35,0.7,0.7,18,0,6,46,True,False,False,0.20921024934944638
1979,Jason Brilz,Record: 22-6-1,71.0,205.0,71.0,1975-07-07,2.66,0.4,1.78,0.65,2.37,0.25,0.25,1.3,22,1,6,50,True,False,False,0.07161233035654231
1980,Jorge Santiago,Record: 25-12-0,73.0,170.0,75.0,1980-10-09,1.69,0.35,2.62,0.56,0.58,0.3,0.52,0.8,25,0,12,45,True,False,False,0.07087737430734736
1982,Eddie Gordon,Record: 8-4-0,72.0,185.0,76.0,1983-07-22,2.03,0.32,2.57,0.6,1.93,0.83,0.63,0.0,8,0,4,42,True,False,False,0.21666344051164294
1984,Bartosz Szewczyk,Record: 8-3-1,76.0,205.0,73.0,1997-09-18,2.7,0.33,3.52,0.47,0.0,0.0,0.0,0.0,8,1,3,28,True,False,False,0.0
1985,Daniel Spitz,Record: 6-3-0,79.0,245.0,82.0,1990-07-31,2.6,0.35,5.3,0.46,0.74,0.66,0.0,0.0,6,0,3,35,True,False,False,0.38871692263567437
1988,Ronda Rousey,Record: 12-2-0,67.0,135.0,66.0,1987-02-01,4.17,0.52,4.14,0.44,6.26,0.68,0.5,4.8,12,0,2,38,True,False,False,0.7317781969734513
1990,Saparbeg Safarov,Record: 9-3-0,73.0,185.0,78.0,1986-10-14,4.03,0.48,2.96,0.47,2.52,0.41,0.33,0.0,9,0,3,39,True,False,False,0.48959301585611165
1991,Greg Soto,Record: 9-4-0,71.0,170.0,73.0,1986-06-03,3.21,0.63,2.61,0.52,1.49,0.27,0.44,1.0,9,0,4,39,True,False,False,0.4170158562539591
1995,Abel Trujillo,Record: 15-8-0 (1 NC),68.0,155.0,70.0,1983-09-18,2.65,0.41,2.31,0.59,2.18,0.45,0.4,0.4,15,0,8,42,True,False,False,0.3392715775002434
1998,Iuri Alcantara,Record: 35-10-0 (1 NC),69.0,135.0,71.0,1980-08-04,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,35,0,10,45,False,True,False,0.1888935648676797
1999,Michael Johnson,Record: 25-19-0,70.0,155.0,73.0,1986-06-04,4.28,0.39,3.79,0.58,0.58,0.38,0.81,0.0,25,0,19,39,False,True,False,0.2629812529532803
2000,Augusto Mendes,Record: 6-2-0,66.0,135.0,65.0,1983-03-03,2.42,0.34,3.91,0.56,1.75,0.33,0.8,0.0,6,0,2,42,True,False,False,0.05005047499861128
2002,Greg Rebello,Record: 24-8-0,72.0,240.0,73.0,1982-06-13,2.61,0.39,2.92,0.58,0.0,0.0,0.0,0.0,24,0,8,43,False,True,False,0.0
2005,Gilbert Burns,Record: 22-9-0,70.0,170.0,71.0,1986-07-20,3.15,0.48,3.64,0.52,2.12,0.37,0.53,0.5,22,0,9,39,True,False,False,0.4541360699236085
2006,Igor Severino,Record: 8-1-0,67.0,125.0,69.0,2003-04-21,7.17,0.52,4.33,0.47,9.69,0.71,0.5,0.0,8,0,1,22,True,False,False,1.2919506072753202
2009,Alfred Khashakyan,Record: 8-3-0,68.0,135.0,70.0,1988-07-17,6.14,0.42,6.38,0.4,3.54,0.25,0.0,0.0,8,0,3,37,True,False,False,0.5989654345271082
2011,Mando Gutierrez,Record: 7-2-0,66.0,135.0,70.0,1997-02-24,0.8,0.75,1.33,0.5,1.0,1.0,0.4,1.0,7,0,2,28,False,True,False,0.7645714434405607
2012,Ariel Beck,Record: 4-5-0,66.0,125.0,66.0,1990-09-16,4.44,0.34,4.31,0.64,0.0,0.0,0.0,0.0,4,0,5,35,False,True,False,0.0
2013,Reza Madadi,Record: 14-6-0,71.0,155.0,73.0,1978-06-20,2.51,0.46,3.31,0.66,3.17,0.33,0.89,0.5,14,0,6,47,True,False,False,0.08746239172515738
2015,Jafel Filho,Record: 17-4-0,67.0,125.0,68.0,1993-05-05,1.85,0.41,1.62,0.5,2.52,0.45,0.66,2.2,17,0,4,32,True,False,False,1.3379933375357578
2016,Ramazan Kuramagomedov,Record: 8-0-0,73.0,170.0,73.0,1996-08-23,11.67,0.67,9.13,0.54,1.0,0.14,0.0,0.0,8,0,0,29,True,False,False,0.42382256925361145
2020,Tom Niinimaki,Record: 22-8-1,69.0,145.0,69.0,1982-07-25,1.91,0.54,2.31,0.58,2.97,0.46,0.33,0.5,22,1,8,43,True,False,False,0.3144383010941897
2021,Jamey Simmons,Record: 7-4-0,66.0,135.0,70.0,1992-09-11,0.79,0.21,1.92,0.74,0.0,0.0,0.5,0.0,7,0,4,33,True,False,False,-0.18972844182252385
2024,Sedriques Dumas,Record: 10-4-0 (1 NC),74.0,185.0,79.0,1995-08-06,2.0,0.44,2.41,0.55,1.34,0.31,0.33,0.2,10,0,4,30,True,False,False,0.6071664664621789
2025,Ricardo Funch,Record: 9-6-0,70.0,170.0,74.0,1980-08-14,2.61,0.65,3.57,0.4,1.24,0.18,0.6,0.0,9,0,6,45,False,True,False,0.04170644417581002
2028,Cody Donovan,Record: 8-5-0,75.0,205.0,74.0,1981-02-20,5.61,0.59,5.44,0.45,1.67,0.28,0.0,1.7,8,0,5,44,True,False,False,0.1857057839462164
2030,Elisha Ellison,Record: 5-2-0,72.0,238.0,78.0,1997-03-05,1.57,0.33,15.13,0.4,0.0,0.0,0.0,0.0,5,0,2,28,True,False,False,0.0
2032,Norman Parke,Record: 23-6-1,71.0,155.0,70.0,1986-12-22,3.06,0.35,2.88,0.64,1.98,0.26,0.77,0.0,23,1,6,39,False,True,False,0.4736534676610242
2034,Jessica Aguilar,Record: 20-8-0,63.0,115.0,63.0,1982-05-08,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,20,0,8,43,True,False,False,-0.00589717995174228
2035,Imanol Rodriguez,Record: 6-0-0,64.0,125.0,64.0,1999-11-15,9.09,0.58,2.73,0.6,0.0,0.0,0.0,0.0,6,0,0,26,True,False,False,0.0
2038,Mansur Abdul-Malik,Record: 8-0-1,74.0,185.0,80.0,1997-10-07,4.27,0.48,3.49,0.51,0.49,0.33,0.82,0.0,8,1,0,28,True,False,False,0.48727589800554805
2040,Andrea Lee,Record: 13-11-0,66.0,125.0,69.0,1989-02-11,4.62,0.45,3.91,0.61,1.65,0.52,0.53,0.6,13,0,11,36,True,False,False,0.7098426473221312
2041,Lucas Martins,Record: 19-3-0,72.0,145.0,72.0,1988-11-11,2.87,0.35,4.14,0.6,0.0,0.0,0.76,0.5,19,0,3,37,False,True,False,-0.2864040807043408
2043,Paul Buentello,Record: 35-17-0,74.0,245.0,77.0,1974-01-16,3.29,0.45,3.83,0.52,0.19,0.33,0.39,0.4,35,0,17,51,True,False,False,0.011320468652330109
2046,David Heath,Record: 18-7-0,71.0,205.0,72.0,1976-02-10,1.48,0.3,5.16,0.49,0.33,0.5,0.57,1.0,18,0,7,49,True,False,False,-0.01760032938770217
2047,Gerald Meerschaert,Record: 37-21-0,73.0,185.0,77.0,1987-12-18,3.01,0.45,3.52,0.53,1.82,0.3,0.42,1.4,37,0,21,38,False,True,False,0.5409682491893495
2048,Mason Jones,Record: 17-2-0 (1 NC),70.0,155.0,74.0,1995-04-26,5.71,0.41,4.47,0.5,4.17,0.55,0.81,0.2,17,0,2,30,True,False,False,1.8084641356064304
2049,Cody McKenzie,Record: 16-10-0,72.0,155.0,72.0,1987-12-16,1.74,0.34,2.5,0.67,2.5,0.25,0.14,2.5,16,0,10,38,False,False,True,0.6742446633557339
2051,Julian Marquez,Record: 9-6-0,74.0,185.0,72.0,1990-05-08,5.06,0.45,5.35,0.5,0.0,0.0,0.54,2.6,9,0,6,35,True,False,False,0.3214177128376447
2053,Jesse Butler,Record: 12-6-0,70.0,135.0,73.0,1992-05-24,2.02,0.34,4.62,0.39,0.0,0.0,0.0,0.0,12,0,6,33,True,False,False,0.0
2054,Aleksei Kunchenko,Record: 20-2-0,68.0,170.0,70.0,1984-05-02,3.67,0.44,2.83,0.63,0.25,0.33,0.8,0.0,20,0,2,41,True,False,False,0.22840049805375823
2057,Rafael Dos Anjos,Record: 32-17-0,68.0,170.0,70.0,1984-10-26,3.48,0.47,3.23,0.6,1.95,0.35,0.54,0.6,32,0,17,41,False,True,False,0.38569996441765636
2058,Randall Wallace,Record: 15-6-0,71.0,185.0,73.0,1989-03-01,1.13,0.38,4.11,0.45,2.13,0.5,0.0,0.0,15,0,6,36,True,False,False,0.7360241769064423
2059,Hiromitsu Miura,Record: 12-7-0,69.0,170.0,71.0,1981-09-22,2.12,0.34,2.12,0.58,2.23,0.5,0.69,0.6,12,0,7,44,True,False,False,0.21324249772363618
2060,David Martinez,Record: 13-1-0,65.0,135.0,67.0,1998-08-03,4.85,0.47,2.95,0.68,0.0,0.0,1.0,0.0,13,0,1,27,True,False,False,0.6968435448653926
2064,Mo Miller,Record: 6-0-0,68.0,135.0,72.0,1992-08-10,1.87,0.45,1.33,0.6,4.0,0.8,0.0,0.0,6,0,0,33,True,False,False,0.856317281731922
2067,Ed Herman,Record: 27-16-0 (1 NC),73.0,205.0,77.0,1980-10-02,3.31,0.48,3.71,0.42,1.96,0.47,0.59,1.0,27,0,16,45,True,False,False,0.16483606150024033
2068,Court McGee,Record: 23-14-0,71.0,170.0,75.0,1984-12-12,4.5,0.36,3.65,0.6,1.78,0.24,0.7,0.5,23,0,14,41,True,False,False,0.3996028844446376
2069,Jason Gonzalez,Record: 11-5-0,74.0,155.0,74.0,1990-02-28,3.06,0.39,3.13,0.58,0.0,0.0,0.3,1.0,11,0,5,35,False,True,False,0.1658715240426969
2070,Sebastian Szalay,Record: 10-1-0,66.0,145.0,66.0,1994-02-03,4.25,0.44,1.27,0.71,0.0,0.0,0.84,0.0,10,0,1,31,True,False,False,0.8379634274356788
2071,Luke Rockhold,Record: 16-6-0,75.0,185.0,77.0,1984-10-17,4.1,0.49,2.68,0.53,0.7,0.29,0.65,1.0,16,0,6,41,False,True,False,0.4016662446817249
2072,Francis Marshall,Record: 8-3-0,69.0,145.0,72.0,1999-03-03,3.46,0.33,4.1,0.54,2.75,0.44,0.66,0.4,8,0,3,26,True,False,False,0.6999225008475101
2077,Julia Polastri,Record: 14-5-0,62.0,115.0,64.0,1998-03-05,6.4,0.54,5.4,0.57,0.73,0.8,0.6,0.4,14,0,5,27,True,False,False,1.034321986942319
2078,Cain Velasquez,Record: 14-3-0,73.0,240.0,77.0,1982-07-28,6.37,0.57,2.33,0.57,5.13,0.45,0.85,0.4,14,0,3,43,True,False,False,0.6934353198163984
2080,Justine Kish,Record: 7-4-0,65.0,125.0,64.0,1988-04-13,4.51,0.48,4.59,0.57,0.87,0.33,0.5,0.1,7,0,4,37,True,False,False,0.2300943352608485
2081,Louis Cosce,Record: 7-2-0,69.0,170.0,71.0,1995-08-27,4.31,0.45,5.35,0.47,1.04,0.2,0.5,0.5,7,0,2,30,True,False,False,0.2593766321606076
2087,Saimon Oliveira,Record: 18-7-0,64.0,135.0,72.0,1991-04-21,2.62,0.42,3.87,0.45,1.18,0.28,0.36,1.2,18,0,7,34,True,False,False,0.5750762583765794
2089,Taylor Lapilus,Record: 21-4-0,66.0,135.0,73.0,1992-04-08,4.59,0.48,2.61,0.62,0.27,0.33,0.77,0.3,21,0,4,33,False,True,False,1.0137269502007475
2092,Alice Ardelean,Record: 11-7-0,63.0,115.0,62.0,1992-04-19,7.35,0.45,5.2,0.62,1.0,0.44,0.85,0.0,11,0,7,33,True,False,False,1.034330062483428
2094,Wagner Prado,Record: 12-3-0 (1 NC),72.0,205.0,74.0,1986-12-30,1.72,0.4,3.06,0.5,0.0,0.0,0.22,0.0,12,0,3,38,False,True,False,-0.08426347105464575
2097,Don Madge,Record: 9-3-1,72.0,155.0,72.0,1990-11-12,2.08,0.52,0.74,0.67,2.22,0.25,0.8,0.7,9,1,3,35,False,True,False,0.959688872709124
2098,Josh Stansbury,Record: 4-8-0,74.0,205.0,74.0,1984-11-19,3.22,0.54,3.54,0.54,0.0,0.0,0.87,1.0,4,0,8,41,True,False,False,0.007316357460298078
2100,Dustin Pague,Record: 12-11-0,69.0,135.0,74.0,1987-08-05,1.65,0.53,2.96,0.41,1.03,0.44,0.55,2.6,12,0,11,38,True,False,False,0.38222544702164835
2101,Bristol Marunde,Record: 16-10-0,73.0,170.0,75.0,1982-04-20,1.42,0.21,4.4,0.47,1.6,0.33,0.14,0.0,16,0,10,43,True,False,False,0.1582173904951956
2102,Kamal Shalorus,Record: 9-5-2,68.0,155.0,68.0,1972-08-27,3.06,0.32,2.99,0.7,2.07,0.5,0.8,0.0,9,2,5,53,True,False,False,0.0172481292110004
2107,Benjamin Bennett,Record: 7-1-0,72.0,170.0,73.0,1994-05-08,4.53,0.54,4.53,0.65,6.0,0.6,0.0,0.0,7,0,1,31,False,False,True,1.035316639003711
2109,Viktoriia Dudakova,Record: 8-2-0,65.0,115.0,67.0,1999-01-26,2.87,0.47,3.4,0.5,2.73,0.35,0.33,0.0,8,0,2,26,True,False,False,0.7813692681516241
2110,Leandro Issa,Record: 13-6-0,67.0,135.0,69.0,1983-09-19,2.08,0.37,3.17,0.58,2.38,0.22,0.5,1.2,13,0,6,42,True,False,False,0.2521239953984167
2112,Felipe dos Santos,Record: 8-3-0 (1 NC),67.0,125.0,70.0,2000-09-11,3.75,0.39,3.8,0.41,0.0,0.0,0.2,0.5,8,0,3,25,True,False,False,0.08317635859478421
2113,Gauge Young,Record: 10-3-0,69.0,155.0,70.0,2000-07-14,5.71,0.51,5.82,0.48,1.0,0.3,0.71,0.0,10,0,3,25,True,False,False,0.3440867380037742
2115,John Lineker,Record: 31-9-0,63.0,135.0,67.0,1990-06-12,5.36,0.4,4.27,0.56,0.56,0.58,0.67,0.6,31,0,9,35,True,False,False,0.8274422042585713
2117,Jeremia Siregar,Record: 6-3-0,62.0,125.0,63.0,1991-07-27,2.8,0.42,7.37,0.29,0.0,0.0,0.75,0.0,6,0,3,34,True,False,False,-0.8329101585767215
2118,Shara Magomedov,Record: 16-1-0,74.0,185.0,73.0,1994-05-16,5.93,0.62,3.85,0.43,0.0,0.0,0.71,0.0,16,0,1,31,True,False,False,0.5533146558546209
2120,Jesse Lennox,Record: 14-4-0,69.0,170.0,72.0,1982-03-10,2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.3,14,0,4,43,True,False,False,0.18388397564674885
2123,Kwon Wonil,Record: 14-6-0,70.0,135.0,71.0,1995-06-24,5.02,0.39,5.82,0.6,0.0,0.0,0.66,0.0,14,0,6,30,True,False,False,-0.3967057234339459
2127,Joey Hart,Record: 6-2-0,75.0,170.0,79.0,1997-06-24,4.53,0.34,4.53,0.45,0.0,0.0,0.4,0.0,6,0,2,28,True,False,False,-0.057101457733493476
2128,Parker Porter,Record: 14-9-0,72.0,265.0,75.0,1985-04-22,6.55,0.5,6.32,0.51,1.35,0.26,0.66,0.5,14,0,9,40,True,False,False,0.2886812340191668
2130,Kendall Grove,Record: 23-17-0 (1 NC),78.0,185.0,79.0,1982-11-12,2.31,0.41,2.4,0.54,0.49,0.45,0.56,1.7,23,0,17,43,True,False,False,0.20586397628819483
2134,Da'Mon Blackshear,Record: 17-8-1,70.0,135.0,72.0,1994-08-12,4.33,0.45,4.19,0.52,1.48,0.33,0.71,1.5,17,1,8,31,False,False,True,0.9598631233917962
2136,Kyle Prepolec,Record: 18-10-0,70.0,155.0,70.0,1989-08-30,3.25,0.34,5.69,0.48,0.0,0.0,0.45,0.0,18,0,10,36,False,True,False,-0.4100928674431734
2137,Sara McMann,Record: 13-6-0,66.0,135.0,66.0,1980-09-24,2.26,0.46,1.92,0.47,4.38,0.65,0.5,0.5,13,0,6,45,True,False,False,0.2366154887273053
2138,Bryan Caraway,Record: 21-9-0,68.0,135.0,68.0,1984-08-04,2.53,0.34,3.61,0.54,2.57,0.25,0.8,0.8,21,0,9,41,True,False,False,0.2516204770635819
2140,Aisling Daly,Record: 16-6-0,62.0,115.0,64.0,1987-12-24,2.92,0.52,1.4,0.55,2.15,0.41,0.33,0.9,16,0,6,38,True,False,False,0.769630786208629
2141,Hakeem Dawodu,Record: 13-4-1,68.0,145.0,73.0,1991-07-02,5.45,0.5,3.37,0.56,0.0,0.0,0.65,0.0,13,1,4,34,True,False,False,0.39462327919235823
2142,Yura Naito,Record: 6-1-0,72.0,185.0,74.0,1996-04-26,1.22,0.44,5.33,0.28,1.67,0.09,0.0,0.0,6,0,1,29,True,False,False,0.5250370702333692
2143,Steve Cantwell,Record: 7-6-0,74.0,185.0,75.0,1986-12-08,3.63,0.34,5.76,0.55,0.65,0.3,0.8,0.7,7,0,6,39,True,False,False,-0.08673804129561388
2144,Khadis Ibragimov,Record: 8-4-0,75.0,205.0,78.0,1995-05-21,3.55,0.49,4.26,0.47,0.97,0.3,0.8,0.3,8,0,4,30,True,False,False,0.22490615316224677
2145,Angel Pacheco,Record: 7-3-0,68.0,135.0,70.0,1992-01-13,9.5,0.39,11.47,0.41,0.0,0.0,0.28,0.0,7,0,3,33,True,False,False,-0.24879044450904575
2146,Ivan Erslan,Record: 14-6-0 (1 NC),74.0,205.0,72.0,1991-11-15,2.55,0.46,5.01,0.53,0.45,0.2,0.61,0.0,14,0,6,34,True,False,False,-0.3473174836218314
2147,Fabio Cherant,Record: 7-4-0,73.0,205.0,74.0,1994-11-25,1.35,0.4,4.89,0.38,0.0,0.0,0.0,0.0,7,0,4,31,False,True,False,0.0
2148,Kazula Vargas,Record: 12-5-0,68.0,155.0,71.0,1985-08-15,3.65,0.53,1.77,0.57,0.4,0.25,0.3,0.4,12,0,5,40,False,True,False,0.2741446747323596
2149,Gillian Robertson,Record: 16-8-0,65.0,115.0,63.0,1995-05-17,2.86,0.48,2.86,0.56,2.74,0.4,0.41,0.9,16,0,8,30,True,False,False,1.192880945291366
2151,Diana Belbita,Record: 15-10-0,67.0,125.0,68.0,1996-06-26,6.45,0.41,6.55,0.51,0.86,0.62,0.64,0.0,15,0,10,29,True,False,False,0.538951801072959
2153,Jackson McVey,Record: 6-2-0,76.0,185.0,77.0,1999-03-25,5.87,0.68,3.82,0.23,0.0,0.0,0.0,0.0,6,0,2,26,False,True,False,0.0
2154,Ernesta Kareckaite,Record: 6-1-1,69.0,125.0,71.0,1998-07-05,7.38,0.42,6.09,0.48,0.67,0.66,0.82,0.0,6,1,1,27,True,False,False,0.6819861659033687
2155,Shane Nelson,Record: 16-7-0,69.0,155.0,70.0,1984-11-29,1.38,0.31,2.84,0.61,1.31,0.18,0.54,1.6,16,0,7,41,False,True,False,0.2109135046101806
2156,Angela Magana,Record: 11-9-0,61.0,115.0,65.0,1983-08-02,1.53,0.28,4.92,0.42,0.4,0.25,0.28,0.4,11,0,9,42,True,False,False,-0.0028296407964732337
2158,Orion Cosce,Record: 8-2-0,71.0,170.0,71.0,1994-07-15,2.77,0.53,4.02,0.44,1.92,0.4,0.61,0.0,8,0,2,31,False,False,True,0.3963749117026659
2160,Alex Morono,Record: 24-12-0 (1 NC),71.0,170.0,72.0,1990-08-16,5.03,0.4,4.78,0.56,0.33,0.24,0.47,0.3,24,0,12,35,True,False,False,0.28078602484971177
2162,Justice Torres,Record: 12-4-0,67.0,145.0,66.0,1997-10-19,0.79,0.22,8.29,0.53,5.92,0.5,0.0,0.0,12,0,4,28,False,True,False,1.3861354461824427
2164,Trevin Jones,Record: 13-10-0 (1 NC),67.0,135.0,70.0,1990-08-04,2.13,0.37,4.29,0.39,0.62,0.15,0.6,0.2,13,0,10,35,False,True,False,-0.16615564193581617
2165,Justin Salas,Record: 12-7-0,68.0,155.0,70.0,1982-03-13,3.42,0.43,2.96,0.68,2.43,0.2,0.0,0.0,12,0,7,43,False,True,False,0.2393190473995759
2167,Fabricio Werdum,Record: 24-9-1,76.0,231.0,77.0,1977-07-30,3.59,0.52,2.64,0.55,1.75,0.31,0.31,1.2,24,1,9,48,True,False,False,0.10865483201228697
2168,Dan Miller,Record: 14-8-0 (1 NC),73.0,185.0,74.0,1981-06-30,2.03,0.36,3.06,0.49,1.67,0.54,0.47,1.8,14,0,8,44,True,False,False,0.1892213328241895
2170,Andy Ogle,Record: 9-6-0,68.0,145.0,69.0,1989-02-16,2.24,0.44,2.23,0.5,1.44,0.26,0.58,0.0,9,0,6,36,True,False,False,0.4018887160301344
2172,Matthew Semelsberger,Record: 11-8-0,73.0,170.0,75.0,1992-11-23,3.77,0.42,4.24,0.54,1.01,0.57,0.45,0.4,11,0,8,33,False,False,True,0.5396126959789461
2178,Jessica-Rose Clark,Record: 11-9-0 (1 NC),65.0,135.0,64.0,1987-11-28,3.73,0.51,3.51,0.58,1.66,0.42,0.62,0.3,11,0,9,38,True,False,False,0.452676606345806
2179,Kurt Holobaugh,Record: 22-10-0 (1 NC),71.0,155.0,70.0,1986-09-08,4.58,0.44,4.24,0.49,0.65,0.33,0.38,0.8,22,0,10,39,True,False,False,0.354903507656338
2182,Cameron VanCamp,Record: 15-7-1 (1 NC),74.0,155.0,74.0,1993-04-27,5.31,0.47,6.41,0.4,0.0,0.0,0.0,0.0,15,1,7,32,False,False,True,0.0
2183,Gian Villante,Record: 17-14-0,75.0,230.0,76.0,1985-08-18,4.38,0.44,5.47,0.55,0.45,0.23,0.83,0.0,17,0,14,40,True,False,False,-0.0906498540009948
2184,Malcolm Wellmaker,Record: 10-1-0,70.0,135.0,71.0,1994-06-04,5.8,0.56,5.39,0.52,0.0,0.0,0.57,0.0,10,0,1,31,False,False,True,-0.027647718223717282
2185,Yosdenis Cedeno,Record: 10-6-1,68.0,155.0,69.0,1985-02-12,1.64,0.29,1.6,0.67,0.0,0.0,0.31,0.3,10,1,6,40,True,False,False,0.026411420682913737
